id,label,atlas,rv,hr
191,LH_DefaultC_PHC_1,schaefer,0.282304577614761,0.160443490870698
192,LH_DefaultC_PHC_2,schaefer,0.262532646901441,0.165766971286182
193,LH_DefaultC_PHC_3,schaefer,0.26832152102137,0.160242647744281
194,LH_TempPar_1,schaefer,0.326464143590466,0.215580371906305
195,LH_TempPar_2,schaefer,0.275626452727503,0.213918856287674
196,LH_TempPar_3,schaefer,0.293774100412678,0.254202022243749
197,LH_TempPar_4,schaefer,0.264244349685932,0.233572246317929
198,LH_TempPar_5,schaefer,0.324140490123946,0.257661390837112
199,LH_TempPar_6,schaefer,0.332766097401941,0.25997518284443
200,RH_VisCent_ExStr_1,schaefer,0.317884772907162,0.273274895133849
201,RH_VisCent_ExStr_2,schaefer,0.350436725906155,0.311828820926924
202,RH_VisCent_ExStr_3,schaefer,0.314738454805395,0.279846567155792
203,RH_VisCent_ExStr_4,schaefer,0.32628971039929,0.285574429071727
204,RH_VisCent_ExStr_5,schaefer,0.333503117680509,0.290993134069778
205,RH_VisCent_ExStr_6,schaefer,0.331147384212645,0.287583421866861
206,RH_VisCent_Striate_1,schaefer,0.37261620683504,0.324295527725288
207,RH_VisCent_ExStr_7,schaefer,0.27241235863948,0.273242808711419
208,RH_VisCent_ExStr_8,schaefer,0.26901978023342,0.263588824316669
209,RH_VisCent_ExStr_9,schaefer,0.27965518861054,0.292738046907389
210,RH_VisCent_ExStr_10,schaefer,0.282336056677675,0.28797934811099
211,RH_VisCent_ExStr_11,schaefer,0.284323828799349,0.283568141650358
212,RH_VisPeri_ExStrInf_1,schaefer,0.281493076480628,0.23431541355894
213,RH_VisPeri_ExStrInf_2,schaefer,0.255205873389958,0.158425546682243
214,RH_VisPeri_ExStrInf_3,schaefer,0.30579204514511,0.277285605972565
215,RH_VisPeri_ExStrInf_4,schaefer,0.292110717515037,0.257877231174426
216,RH_VisPeri_ExStrInf_5,schaefer,0.333200436274066,0.243816473071843
217,RH_VisPeri_StriCal_1,schaefer,0.351778346282065,0.314565064141633
218,RH_VisPeri_StriCal_2,schaefer,0.342362674401696,0.295944756273043
219,RH_VisPeri_ExStrSup_1,schaefer,0.306115996611852,0.270957011036713
220,RH_VisPeri_ExStrSup_2,schaefer,0.302437420382175,0.288046974664548
221,RH_VisPeri_ExStrSup_3,schaefer,0.318297832095793,0.301027141071814
222,RH_VisPeri_ExStrSup_4,schaefer,0.298011675324701,0.299990901122332
223,RH_SomMotA_1,schaefer,0.28200192095693,0.235150731078913
224,RH_SomMotA_2,schaefer,0.311374511609684,0.290540129315817
225,RH_SomMotA_3,schaefer,0.351534802435625,0.326078649929952
226,RH_SomMotA_4,schaefer,0.291516213109368,0.260166435359047
227,RH_SomMotA_5,schaefer,0.320241563779943,0.283525189521487
228,RH_SomMotA_6,schaefer,0.286146448678388,0.262382992150709
229,RH_SomMotA_7,schaefer,0.291206115817647,0.267133584503405
230,RH_SomMotA_8,schaefer,0.30450655309122,0.285925862141412
231,RH_SomMotA_9,schaefer,0.232345962415992,0.266423374557698
232,RH_SomMotA_10,schaefer,0.291789907598799,0.282957225681302
233,RH_SomMotA_11,schaefer,0.271434439313651,0.247982294532094
234,RH_SomMotA_12,schaefer,0.261243145913117,0.227978014152215
235,RH_SomMotA_13,schaefer,0.281739812430569,0.277130908040542
236,RH_SomMotA_14,schaefer,0.292369745229194,0.269974453887469
237,RH_SomMotA_15,schaefer,0.311988115962995,0.314092411961073
238,RH_SomMotA_16,schaefer,0.281891466747618,0.273240745918282
239,RH_SomMotA_17,schaefer,0.258960194540343,0.221118339992034
240,RH_SomMotA_18,schaefer,0.263450154937997,0.245874874405649
241,RH_SomMotA_19,schaefer,0.259866069306187,0.23921637982994
242,RH_SomMotA_20,schaefer,0.274024917878122,0.267010442066809
243,RH_SomMotB_Aud_1,schaefer,0.369895711500565,0.251643247883668
244,RH_SomMotB_Aud_2,schaefer,0.44175608319204,0.324364690401339
245,RH_SomMotB_Ins_1,schaefer,0.390804614591578,0.269137845382936
246,RH_SomMotB_S2_1,schaefer,0.336334187575067,0.262346217160648
247,RH_SomMotB_S2_2,schaefer,0.37184854596884,0.269317450041039
248,RH_SomMotB_Aud_3,schaefer,0.396289242124667,0.318362386628479
249,RH_SomMotB_S2_3,schaefer,0.35255930236487,0.282334803983934
250,RH_SomMotB_S2_4,schaefer,0.407407037089433,0.318055391708992
251,RH_SomMotB_S2_5,schaefer,0.363651693325623,0.296515469665506
252,RH_SomMotB_S2_6,schaefer,0.386908704557539,0.344530699835244
253,RH_SomMotB_S2_7,schaefer,0.3591748911989,0.279547074834835
254,RH_SomMotB_S2_8,schaefer,0.377249748959111,0.311648539525489
255,RH_SomMotB_Cent_1,schaefer,0.286793007888056,0.25646096200964
256,RH_SomMotB_Cent_2,schaefer,0.341241466440847,0.3658572040682
257,RH_SomMotB_Cent_3,schaefer,0.349018624022368,0.366407167959415
258,RH_DorsAttnA_TempOcc_1,schaefer,0.289219634368483,0.223075280256895
259,RH_DorsAttnA_TempOcc_2,schaefer,0.354570092425358,0.292248136923615
260,RH_DorsAttnA_TempOcc_3,schaefer,0.325872051309736,0.295929021939632
261,RH_DorsAttnA_ParOcc_1,schaefer,0.314943261628912,0.303776482555347
262,RH_DorsAttnA_ParOcc_2,schaefer,0.307147936119647,0.257116238853478
263,RH_DorsAttnA_ParOcc_3,schaefer,0.26611636455054,0.26177130243475
264,RH_DorsAttnA_SPL_1,schaefer,0.265389374553267,0.273229339500015
265,RH_DorsAttnA_SPL_2,schaefer,0.257273524178667,0.233945637156624
266,RH_DorsAttnA_SPL_3,schaefer,0.305321730297798,0.289114774437039
267,RH_DorsAttnA_SPL_4,schaefer,0.253710965998184,0.243244867163864
268,RH_DorsAttnA_SPL_5,schaefer,0.268655809235345,0.264856174779627
269,RH_DorsAttnA_SPL_6,schaefer,0.261197663142006,0.251008433250901
270,RH_DorsAttnA_SPL_7,schaefer,0.256804343842095,0.272428735668832
